thr,pos
0.669743284,19
0.678425155,20
0.682565777,21
0.684419437,22
0.692551131,23
0.695902009,24
0.702398995,25
0.715354758,26
0.718563881,27
0.726640568,28
0.731974705,29
0.73725607,30
0.74013372,31
0.744153225,32
0.749803058,33
0.752920163,34
0.755267845,35
0.759296465,36
0.758105204,37
0.761039216,38
0.760688467,39
0.763590827,40
0.754965657,41
0.757161947,42
0.753560456,43
0.751282242,44
0.749669043,45
0.750669991,46
0.743937994,47
0.742227687,48
0.742007412,49
0.732907879,50
0.73454017,51
0.731488874,52
0.729399981,53
0.723913293,54
0.720852383,55
0.720284477,56
0.719953288,57
0.719760829,58
0.718382002,59
0.716539509,60
0.714031827,61
0.709732632,62
0.703712421,63
0.702213051,64
0.699479548,65
0.703850802,66
0.700688144,67
0.701561162,68
0.69706203,69
0.697334171,70
0.698112636,71
0.69994056,72
0.699334838,73
0.699623138,74
0.709401234,75
0.698848223,76
0.691216498,77
0.693683321,78
0.684568045,79
0.68362285,80
0.649407243,81
0.650278099,82
0.649821172,83
0.651847591,84
0.644719903,85
0.639277043,86
0.638576428,87
0.640646014,88
0.646953225,89
0.647640636,90
0.646208454,91
0.645624507,92
0.631475188,93
0.628051436,94
0.614087495,95
0.612641657,96
0.614655539,97
0.616344045,98
0.615902465,99
0.614503928,100
0.616748436,101
0.616516887,102
0.617665249,103
0.618206104,104
0.607360948,105
0.606127719,106
0.607140868,107
0.609158066,108
0.607510592,109
0.603382865,110
0.603579541,111
0.604589934,112
0.607214127,113
0.608087838,114
0.607065512,115
0.609371049,116
0.603893702,117
0.60397494,118
0.605078802,119
0.60382945,120
0.603748635,121
0.608812801,122
0.607212005,123
0.606255584,124
0.600048682,125
0.60144641,126
0.601139502,127
0.602712574,128
0.60598063,129
0.604613392,130
0.604276297,131
0.603408879,132
0.599435583,133
0.600539156,134
0.601171601,135
0.60276353,136
0.602553467,137
0.600416936,138
0.598732053,139
0.599529308,140
0.604598359,141
0.605214674,142
0.606184894,143
0.60829039,144
0.606597689,145
0.6072543,146
0.605406398,147
0.610829753,148
0.611528873,149
0.608348484,150
0.610497494,151
0.613739805,152
0.614796353,153
0.617539013,154
0.618952358,155
0.619175928,156
0.618037823,157
0.616040061,158
0.616556105,159
0.618325202,160
0.620623019,161
0.621070204,162
0.619283361,163
0.624470949,164
0.624631442,165
0.624454082,166
0.623776739,167
0.62092824,168
0.62123879,169
0.622798083,170
0.62528267,171
0.62229275,172
0.621961546,173
0.623110419,174
0.624456226,175
0.619564548,176
0.618057333,177
0.621194349,178
0.616880543,179
0.62132409,180
0.621567172,181
0.632595533,182
0.632776164,183
0.633327657,184
0.635066048,185
0.636398708,186
0.640225891,187
0.641320835,188
0.639201077,189
0.63896452,190
0.637787131,191
0.636596438,192
0.63676893,193
0.646247281,194
0.649940261,195
0.658431238,196
0.661142469,197
0.65535948,198
0.655080341,199
0.653857424,200
0.655355158,201
0.651475581,202
0.652405558,203
0.652139896,204
0.652765923,205
0.661950566,206
0.664255534,207
0.665533339,208
0.66515064,209
0.667976342,210
0.673525116,211
0.672697892,212
0.676191367,213
0.673111036,214
0.674436302,215
0.67273958,216
0.672380342,217
0.68627879,218
0.686366562,219
0.685474324,220
0.687894131,221
0.68777665,222
0.685528258,223
0.687753397,224
0.687113192,225
0.699333724,226
0.697875271,227
0.699321887,228
0.697774488,229
0.694323413,230
0.697518806,231
0.698192674,232
0.698764069,233
0.704690541,234
0.698813893,235
0.702250782,236
0.706370838,237
0.705818714,238
0.707560254,239
0.710772313,240
0.709274308,241
0.707775048,242
0.708004953,243
0.707628315,244
0.70884577,245
0.712393974,246
0.712138136,247
0.715090892,248
0.713036264,249
0.712183791,250
0.715456531,251
0.71715797,252
0.709861807,253
0.707800232,254
0.707190368,255
0.704314931,256
0.705380688,257
0.709203602,258
0.71008588,259
0.710986051,260
0.711739254,261
0.712015084,262
0.711697564,263
0.714440914,264
0.712426925,265
0.710021116,266
0.710952608,267
0.713163133,268
0.719963671,269
0.720994004,270
0.717340738,271
0.716822834,272
